pool_address,tvl,blockchain_name,blockchain_id,protocol_name,protocol_id,token0_address,token1_address
0xb2d0d5c86d933b0acefe9b95bec160d514d152e1,165038.4641492963,polygon,4,sushiswap,5,0x4e78011ce80ee02d2c3e649fb657e45898257815,0xd838290e877e0188a4a44700463419ed96c16107
0x847b64f9d3a95e977d157866447a5c0a5dfa0ee5,2134193.4154269276,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6
0x3dc15d2ab3d2eb9f2af55dfbcf62caf2876c6261,29671.4582405457,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x1adcef5c780d8895ac77e6ee9239b4b3ecb76da2
0x64b6cd3a85b5902a267e953c6ac1dba376f0a999,16730.5331616568,polygon,4,uniswap_v3,3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3
0xf7024ff3cd59e1942b6de1770b296162fe97e6a1,2013.7746098548,polygon,4,uniswap_v3,3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xa3fa99a148fa48d14ed51d610c367c61876997f1
0x67e708986a809acefde16f2417fa5701241e3935,7899.2036541981,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x034293f21f1cce5908bc605ce5850df2b1059ac0,82845.1452599705,polygon,4,apeswap,7,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x5d47baba0d66083c52009271faf3f50dcc01023c
0x1f97c0260c6a18b26a9c2681f0faa93ac2182dbc,2403516.0558579336,polygon,4,quickswap,4,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b
0xd48cb7ad6a0e2137ea81803c63d2863206ce4700,3130.765146,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xe261d618a959afffd53168cd07d12e37b26761db
0x64d1393b53e3c4a8b04fb1dde2c7b40bc0897222,13735.3687885541,polygon,4,apeswap,7,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x3a3df212b7aa91aa0402b9035b098891d276572b
0xe6c36eed27c2e8ecb9a233bf12da06c9730b5955,22404.2494066425,polygon,4,uniswap_v3,3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x311434160d7537be358930def317afb606c0d737
0x50eaedb835021e4a108b7290636d62e9765cc6d7,7116201.090519781,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6
0xa649040d1a13376ac0c4bcccb587963fb7961095,145114.5789750555,polygon,4,quickswap,4,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7
0x17f4e4b273a71bee4c469a1425f23056f83f7bff,430337.2980294006,polygon,4,quickswap,4,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x67eb41a14c0fe5cd701fc9d5a3d6597a72f641a6
0xc3286373599dd5af2a17a572ebb7561f05f88bec,71357.61021,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0308a3a9c433256ad7ef24dbef9c49c8cb01300a
0x167384319b41f7094e62f7506409eb38079abff8,3471597.357153172,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x4fe1269a585b141f11c3e144158f9f8823c7c0e7,11821.2148677419,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3
0x9b0ff586031f4d64d72cb624f20e62991de5e27d,3405.543459,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c
0x29920010de717c9c49d8d109e535bd989125f4c7,121588.8519319284,polygon,4,kyberswap,6,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4
0x1e387e1f2e6b96f95cb5f7459fd9b34ad2018dfa,2588.458672,polygon,4,uniswap_v3,3,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x8c9bac920cd9cf8c61f7fa4f34f43c572d040f61
0x7b23afe559433aace4d61ed65e225a74094defcb,7424.2203988002,polygon,4,sushiswap,5,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x68ee0d0aad9e1984af85ca224117e4d20eaf68be
0x98b9162161164de1ed182a0dfa08f5fbf0f733ca,433116.5657913767,polygon,4,uniswap_v3,3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39
0xbd934a7778771a7e2d9bf80596002a214d8c9304,58622.9493244316,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
